,,,,,,,,,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Gr%,Gr%,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Vol.,Gr%,Gr%,Vol.,Vol.,Vol.,Gr%,Vol.,Vol.,Vol.,Gr%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,Ch.,Ch.,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,MS Vol%,Ch.,Ch.,MS Vol%,MS Vol%,MS Vol%,Ch.,MS Vol%,MS Vol%,MS Vol%,Ch.
Zone,Market,Channel,SEGMENT,MANUFACTURER,BRAND,SUBBRAND,SUBSEGMENT,SALIENCE,APR'24,MAY'24,JUN'24,JUL'24,AUG'24,SEP'24,OCT'24,NOV'24,DEC'24,JAN'25,FEB'25,MAR'25,APR'25,MAY'25,JUN'25,JUL'25,AUG'25,SEP'25,OCT'25,NOV'25,DEC'25,JAN'26,FEB'26,MAR'26,APR'26,MAY'26,JUN'26,Vs LM,VS STLY,AMJ'24,JAS'24,OND'24,JFM'25,AMJ'25,JAS'25,OND'25,JFM'26,AMJ'26,Vs LQ,VS STLY,YTD JUN 24,YTD JUN 25,YTD JUN 26,Vs STLY,MAT  JUN 24,MAT  JUN 25,MAT  JUN 26,Vs STLY,APR'24,MAY'24,JUN'24,JUL'24,AUG'24,SEP'24,OCT'24,NOV'24,DEC'24,JAN'25,FEB'25,MAR'25,APR'25,MAY'25,JUN'25,JUL'25,AUG'25,SEP'25,OCT'25,NOV'25,DEC'25,JAN'26,FEB'26,MAR'26,APR'26,MAY'26,JUN'26,Vs LM,VS STLY,AMJ'24,JAS'24,OND'24,JFM'25,AMJ'25,JAS'25,OND'25,JFM'26,AMJ'26,Vs LM,VS STLY,YTD JUN 24,YTD JUN 25,YTD JUN 26,VS STLY,MAT  JUN 24,MAT  JUN 25,MAT  JUN 26,VS STLY
ALL INDIA,AI (U+R),TT+MT,BASMATI RICE,,,,,100%,"2,19,64,282","2,32,35,417","2,31,76,528","2,40,84,932","2,56,73,386","2,34,59,289","2,35,67,682","2,31,55,231","2,29,97,076","2,48,11,166","2,29,17,912","2,46,46,684","2,42,52,610","2,59,12,733","2,39,09,212","2,57,56,099","2,63,71,721","2,55,64,208","2,68,15,271","2,45,80,367","2,50,95,422","2,75,69,533","2,65,18,059","2,72,21,446","2,46,12,639","2,59,09,339","2,44,96,965",-5%,2%,"6,83,76,228","7,32,17,607","6,97,19,989","7,23,75,761","7,40,74,555","7,76,92,028","7,64,91,061","8,13,09,038","7,50,18,943",-8%,1%,"6,83,76,228","7,40,74,555","7,50,18,943",1%,"27,54,99,514","28,93,87,912","31,05,11,070",7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0,0.0,100%,100%,100%,100%,100%,100%,100%,100%,100%,0.0%,0.0%,100.0%,100.0%,100.0%,0.0,100.0%,100.0%,100.0%,0.0
ALL INDIA,AI (U+R),TT+MT,MANUFACTURER,ADANI WILMAR,,,,,"12,46,095","20,79,540","25,78,813","17,22,743","14,66,045","13,16,473","13,85,622","11,09,456","10,16,231","10,53,695","9,14,442","10,86,691","15,86,741","26,47,127","19,66,139","17,21,066","18,72,022","19,70,304","34,41,561","31,72,427","25,14,367","23,63,188","27,12,647","25,51,738","18,40,735","30,19,438","32,74,287",8%,67%,"59,04,448","45,05,261","35,11,309","30,54,828","62,00,008","55,63,392","91,28,356","76,27,573","81,34,460",7%,31%,"59,04,448","62,00,008","81,34,460",31%,"2,13,66,680","1,72,71,405","3,04,53,781",76%,5.7%,8.9%,11.1%,7.2%,5.7%,5.6%,5.9%,4.8%,4.4%,4.2%,4.0%,4.4%,6.5%,10.2%,8.2%,6.7%,7.1%,7.7%,12.8%,12.9%,10.0%,8.6%,10.2%,9.4%,7.5%,11.7%,13.4%,1.7,5.1,9%,6%,5%,4%,8%,7%,12%,9%,11%,1.5%,2.5%,8.6%,8.4%,10.8%,2.5,7.8%,6.0%,9.8%,3.8
ALL INDIA,AI (U+R),TT+MT,BRAND,ADANI WILMAR,CHARMINAR,,,,,,,,,,,,,,,,,,,,,,,,,180,"42,036","1,00,145","99,376","3,11,729","3,17,457",2%,#DIV/0!,0,0,0,0,0,0,0,"1,42,360","7,28,563",412%,#DIV/0!,,,"7,28,563",#DIV/0!,,,"8,70,923",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,0.0%,0.2%,0.4%,0.4%,1.2%,1.3%,0.1,1.3,0%,0%,0%,0%,0%,0%,0%,0%,1%,0.8%,1.0%,,,1.0%,1.0,,,0.3%,0.3
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,CHARMINAR,CHARMINAR,DAILY REGULAR,,,,,,,,,,,,,,,,,,,,,,,180,"42,036","1,00,145","99,376","3,11,729","3,17,457",2%,#DIV/0!,0,0,0,0,0,0,0,"1,42,360","7,28,563",412%,#DIV/0!,,,"7,28,563",#DIV/0!,,,"8,70,923",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,0.0%,0.2%,0.4%,0.4%,1.2%,1.3%,0.1,1.3,0%,0%,0%,0%,0%,0%,0%,0%,1%,0.8%,1.0%,,,1.0%,1.0,,,0.3%,0.3
ALL INDIA,AI (U+R),TT+MT,BRAND,ADANI WILMAR,FORTUNE,,,,"8,92,587","12,36,730","12,34,359","8,56,406","7,21,729","6,64,496","7,45,708","6,50,209","5,76,370","6,09,592","5,92,570","6,55,675","8,45,832","14,53,568","10,63,230","10,30,090","10,45,226","10,41,718","10,52,191","9,96,014","10,60,026","11,24,987","12,30,209","10,14,841","8,24,262","10,21,229","10,22,498",0%,-4%,"33,63,676","22,42,631","19,72,288","18,57,837","33,62,630","31,17,034","31,08,232","33,70,037","28,67,989",-15%,-15%,"33,63,676","33,62,630","28,67,989",-15%,"1,37,26,445","94,35,386","1,24,63,292",32%,4.1%,5.3%,5.3%,3.6%,2.8%,2.8%,3.2%,2.8%,2.5%,2.5%,2.6%,2.7%,3.5%,5.6%,4.4%,4.0%,4.0%,4.1%,3.9%,4.1%,4.2%,4.1%,4.6%,3.7%,3.3%,3.9%,4.2%,0.2,-0.3,5%,3%,3%,3%,5%,4%,4%,4%,4%,-0.3%,-0.7%,4.9%,4.5%,3.8%,-0.7,5.0%,3.3%,4.0%,0.8
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,416,#DIV/0!,#DIV/0!,,,416,#DIV/0!,,,416,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,,,0.0%,0.0,,,0.0%,0.0
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE AUTHENTIC SUPER,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,"4,045","4,362","16,900","10,861",-36%,#DIV/0!,0,0,0,0,0,0,0,"4,045","32,123",694%,#DIV/0!,,,"32,123",#DIV/0!,,,"36,168",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0%,0.1%,0.0%,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,,,0.0%,0.0,,,0.0%,0.0
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE BIRYANI CLASSIC,PREMIUM,,951,534,49,81,118,1,23,2,147,145,461,297,295,157,16,101,140,6,152,13,77,206,,,,,,#DIV/0!,-100%,"1,534",201,172,903,468,247,242,206,0,-100%,-100%,"1,534",468,,-100%,"28,972","1,743",695,-60%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0%,0.0%,0.0%,0.0
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE BIRYANI SPECIAL,PREMIUM,,"2,01,643","2,34,766","2,67,864","2,37,061","2,21,080","1,76,314","2,09,125","2,08,729","1,89,810","2,24,603","1,98,880","2,09,764","1,97,062","2,06,003","1,92,843","1,98,000","1,80,733","1,74,162","2,07,644","1,48,257","1,56,777","1,62,207","1,75,641","1,79,879","1,28,560","1,43,971","1,57,214",9%,-18%,"7,04,274","6,34,456","6,07,664","6,33,247","5,95,908","5,52,895","5,12,678","5,17,728","4,29,745",-17%,-28%,"7,04,274","5,95,908","4,29,745",-28%,"26,49,545","24,71,275","20,13,046",-19%,0.9%,1.0%,1.2%,1.0%,0.9%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%,0.9%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,0.8%,0.6%,0.6%,0.6%,0.7%,0.7%,0.5%,0.6%,0.6%,0.1,-0.2,1%,1%,1%,1%,1%,1%,1%,1%,1%,-0.1%,-0.2%,1.0%,0.8%,0.6%,-0.2,1.0%,0.9%,0.6%,-0.2
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE DUBAR,DAILY PREMIUM,,,,,,,,,,,,,,,,,,34,,116,32,,35,96,626,439,830,467,-44%,#DIV/0!,0,0,0,0,0,34,148,756,"1,737",130%,#DIV/0!,,,"1,737",#DIV/0!,,,"2,675",#DIV/0!,,,,,,,,,,,,,,,,,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,,,0.0%,0.0,,,0.0%,0.0
ALL INDIA,AI (U+R),TT+MT,SUBBRAND,ADANI WILMAR,FORTUNE,FORTUNE EVERYDAY,DAILY REGULAR,,"2,08,687","4,43,781","4,72,596","2,76,410","2,38,843","2,41,753","2,64,003","1,99,857","1,60,279","1,61,275","1,53,798","2,14,039","3,59,454","8,29,514","4,11,818","2,84,649","2,57,561","2,92,029","2,19,598","1,98,837","1,45,583","1,62,819","3,31,228","2,43,353","1,37,528","1,48,074","1,44,739",-2%,-65%,"11,25,064","7,57,006","6,24,139","5,29,111","16,00,786","8,34,239","5,64,018","7,37,400","4,30,340",-42%,-73%,"11,25,064","16,00,786","4,30,340",-73%,"33,45,960","35,11,042","25,65,997",-27%,1.0%,1.9%,2.0%,1.1%,0.9%,1.0%,1.1%,0.9%,0.7%,0.7%,0.7%,0.9%,1.5%,3.2%,1.7%,1.1%,1.0%,1.1%,0.8%,0.8%,0.6%,0.6%,1.2%,0.9%,0.6%,0.6%,0.6%,0.0,-1.1,2%,1%,1%,1%,2%,1%,1%,1%,1%,-0.3%,-1.6%,1.6%,2.2%,0.6%,-1.6,1.2%,1.2%,0.8%,-0.4
